shotnumber	UTM_X	UTM_Y	src_wdepth	timestamp_shot	channel_idx_apex	time_apex
231	686.6	-1406.8	68.7	1656638622.115	7401	0.069
232	716.9	-1362.2	68.6	1656638614.914	7408	0.072
233	668.8	-1374.0	68.6	1656638607.699	7410	0.072
234	699.5	-1328.9	68.6	1656638600.477	7413	0.069
235	651.3	-1340.7	68.6	1656638593.253	7415	0.072
236	682.5	-1295.3	68.6	1656638586.032	7419	0.069
237	633.6	-1307.7	68.6	1656638578.812	7422	0.075
238	664.4	-1262.4	68.6	1656638571.586	7426	0.072
239	615.4	-1275.1	68.6	1656638564.371	7429	0.072
240	645.7	-1230.1	68.6	1656638557.18	7431	0.072
241	597.6	-1242.3	68.6	1656638549.984	7434	0.075
242	628.2	-1197.0	68.6	1656638542.774	7438	0.069
243	580.6	-1208.7	68.6	1656638535.547	7440	0.075
244	611.7	-1163.0	68.6	1656638528.279	7445	0.072
246	594.8	-1129.3	68.6	1656638513.698	7449	0.072
247	546.2	-1141.4	68.6	1656638506.43	7451	0.075
248	577.4	-1096.2	68.6	1656638499.22	7457	0.069
249	529.1	-1108.1	68.6	1656638492.015	7459	0.075
250	560.4	-1062.8	68.5	1656638484.833	7463	0.072
251	512.4	-1074.3	68.5	1656638477.654	7464	0.072
252	544.0	-1029.0	68.6	1656638470.452	7470	0.069
253	495.7	-1040.5	68.6	1656638463.24	7472	0.075
254	527.4	-995.3	68.6	1656638456.009	7473	0.072
255	478.9	-1006.8	68.6	1656638448.759	7477	0.072
256	510.7	-961.7	68.5	1656638441.504	7481	0.069
257	462.1	-973.0	68.5	1656638434.22	7483	0.075
258	494.2	-927.9	68.5	1656638426.963	7487	0.069
259	445.6	-939.1	68.5	1656638419.697	7490	0.072
260	478.2	-894.0	68.5	1656638412.438	7493	0.069
261	429.3	-905.1	68.6	1656638405.215	7496	0.075
262	461.9	-860.2	68.5	1656638398.001	7500	0.072
263	412.9	-871.3	68.5	1656638390.806	7502	0.072
264	445.3	-826.5	68.5	1656638383.6	7506	0.072
265	396.7	-837.3	68.5	1656638376.418	7509	0.075
266	429.6	-792.5	68.5	1656638369.237	7512	0.072
267	381.0	-802.8	68.5	1656638362.044	7514	0.075
268	414.7	-757.9	68.5	1656638354.841	7517	0.072
269	365.7	-768.2	68.5	1656638347.612	7521	0.075
270	399.3	-723.6	68.5	1656638340.395	7525	0.075
271	349.7	-734.0	68.5	1656638333.144	7528	0.075
272	382.6	-690.0	68.5	1656638325.896	7530	0.072
273	333.5	-699.9	68.5	1656638318.631	7533	0.072
274	366.8	-656.0	68.5	1656638311.382	7535	0.072
275	318.6	-665.1	68.5	1656638304.163	7539	0.072
276	353.0	-620.9	68.5	1656638296.903	7542	0.072
277	304.4	-629.7	68.5	1656638289.666	7545	0.072
278	339.3	-585.7	68.5	1656638282.396	7549	0.075
279	289.3	-595.0	68.5	1656638275.156	7552	0.072
280	323.3	-551.8	68.5	1656638267.934	7555	0.075
281	272.7	-561.5	68.5	1656638260.738	7559	0.075
282	306.1	-518.5	68.5	1656638253.554	7561	0.078
283	256.5	-527.8	68.5	1656638246.363	7565	0.072
284	290.4	-484.4	68.5	1656638239.182	7568	0.078
285	241.7	-493.1	68.5	1656638231.998	7570	0.072
286	276.5	-449.5	68.5	1656638224.769	7574	0.078
287	227.1	-458.0	68.5	1656638217.539	7577	0.072
288	262.1	-414.8	68.6	1656638210.31	7579	0.075
289	211.5	-423.8	68.6	1656638203.078	7582	0.072
290	245.9	-380.8	68.6	1656638195.871	7586	0.078
291	194.8	-390.5	68.6	1656638188.7	7589	0.075
292	229.4	-347.2	68.6	1656638181.571	7592	0.078
293	179.1	-356.7	68.6	1656638174.438	7594	0.072
294	213.9	-313.1	68.6	1656638167.323	7597	0.078
295	164.6	-321.8	68.6	1656638160.206	7599	0.072
296	198.8	-278.7	68.6	1656638153.064	7605	0.081
297	149.7	-287.2	68.6	1656638145.903	7607	0.075
298	183.2	-244.5	68.6	1656638138.679	7610	0.081
299	133.8	-253.1	68.6	1656638131.453	7613	0.072
300	168.0	-210.2	68.6	1656638124.205	7616	0.081
301	118.8	-218.6	68.6	1656638116.958	7618	0.075
302	153.7	-175.3	68.5	1656638109.697	7624	0.081
303	104.1	-184.0	68.5	1656638102.412	7625	0.075
304	138.0	-141.1	68.6	1656638095.094	7629	0.084
305	88.5	-149.7	68.6	1656638087.804	7631	0.075
306	122.6	-107.0	68.6	1656638080.534	7634	0.081
307	73.9	-114.9	68.6	1656638073.289	7638	0.075
308	108.3	-72.2	68.6	1656638066.047	7640	0.084
309	59.4	-80.1	68.6	1656638058.834	7644	0.075
311	49.6	-56.8	68.6	1656638049.131	7648	0.075
312	84.7	-14.2	68.6	1656638041.976	7649	0.087
313	35.5	-22.4	68.6	1656638034.966	7653	0.075
314	70.7	19.6	68.6	1656638027.939	7661	0.087
315	21.3	11.5	68.6	1656638020.908	7662	0.075
316	56.6	53.5	68.6	1656638013.855	7666	0.09
317	7.2	45.6	68.6	1656638006.785	7666	0.075
318	42.9	87.8	68.7	1656637999.698	7672	0.087
319	-6.5	80.2	68.7	1656637992.597	7673	0.075
320	29.6	122.4	68.6	1656637985.478	7679	0.081
321	-19.8	115.3	68.6	1656637978.341	7679	0.075
322	16.2	157.1	68.6	1656637971.216	7685	0.081
323	-33.2	150.4	68.6	1656637964.069	7686	0.075
324	2.5	191.8	68.6	1656637956.928	7690	0.084
325	-46.9	185.2	68.6	1656637949.792	7691	0.072
326	-10.9	226.8	68.7	1656637942.618	7698	0.081
327	-60.5	220.3	68.7	1656637935.44	7699	0.072
328	-24.0	262.0	68.7	1656637928.223	7701	0.081
329	-73.8	255.8	68.7	1656637920.997	7702	0.075
330	-37.3	297.3	68.7	1656637913.749	7709	0.081
331	-87.1	291.3	68.7	1656637906.525	7711	0.075
332	-51.0	332.4	68.7	1656637899.307	7716	0.081
333	-100.5	326.7	68.7	1656637892.084	7717	0.075
334	-64.5	367.7	68.7	1656637884.871	7721	0.078
335	-113.7	362.0	68.7	1656637877.673	7724	0.078
336	-77.3	403.0	68.7	1656637870.443	7727	0.078
337	-126.6	397.7	68.7	1656637863.188	7729	0.075
338	-89.9	438.7	68.7	1656637855.917	7733	0.078
339	-139.4	433.4	68.7	1656637848.604	7736	0.075
340	-102.4	474.3	68.7	1656637841.311	7740	0.078
341	-152.1	469.1	68.7	1656637834.03	7743	0.078
342	-115.0	509.8	68.7	1656637826.752	7746	0.075
343	-164.5	505.0	68.7	1656637819.464	7747	0.078
344	-127.1	545.6	68.6	1656637812.159	7752	0.078
345	-176.6	541.1	68.6	1656637804.853	7754	0.078
346	-138.5	581.5	68.7	1656637797.536	7759	0.075
347	-188.0	577.5	68.7	1656637790.233	7760	0.078
348	-149.6	617.6	68.6	1656637782.909	7765	0.075
349	-199.2	613.9	68.6	1656637775.623	7767	0.078
350	-161.0	653.5	68.7	1656637768.326	7771	0.075
351	-210.7	650.1	68.7	1656637761.042	7773	0.078
352	-172.4	689.4	68.7	1656637753.738	7777	0.075
353	-222.1	686.3	68.7	1656637746.43	7780	0.081
354	-183.3	725.4	68.7	1656637739.094	7783	0.075
355	-233.1	722.7	68.6	1656637731.749	7786	0.081
356	-193.8	761.6	68.7	1656637724.4	7789	0.075
357	-243.7	759.3	68.7	1656637717.067	7792	0.081
358	-204.3	797.8	68.7	1656637709.746	7794	0.078
359	-254.1	795.9	68.7	1656637702.424	7799	0.081
360	-214.7	833.9	68.7	1656637695.112	7802	0.078
361	-264.7	832.3	68.7	1656637687.815	7803	0.078
362	-225.1	870.0	68.7	1656637680.535	7806	0.075
363	-275.6	868.5	68.7	1656637673.239	7810	0.081
364	-235.7	906.1	68.6	1656637665.954	7816	0.075
365	-286.4	904.7	68.7	1656637658.667	7817	0.081
366	-246.3	942.1	68.7	1656637651.381	7820	0.078
367	-296.9	940.9	68.7	1656637644.101	7822	0.081
368	-256.7	978.2	68.7	1656637636.779	7827	0.078
369	-306.9	977.5	68.7	1656637629.497	7829	0.084
370	-266.6	1014.4	68.7	1656637622.208	7830	0.075
371	-316.9	1014.0	68.7	1656637614.93	7836	0.084
372	-276.4	1050.7	68.7	1656637607.665	7839	0.078
373	-327.3	1050.2	68.7	1656637600.4	7842	0.081
374	-286.8	1086.7	68.7	1656637593.153	7845	0.078
375	-338.1	1086.1	68.7	1656637585.928	7846	0.081
376	-297.9	1122.5	68.7	1656637578.707	7851	0.075
377	-349.1	1121.9	68.7	1656637571.493	7852	0.081
378	-308.7	1158.4	68.7	1656637564.281	7856	0.078
379	-359.6	1158.0	68.8	1656637557.031	7860	0.084
380	-318.8	1194.5	68.7	1656637549.819	7863	0.078
381	-369.4	1194.4	68.7	1656637542.599	7865	0.081
382	-328.5	1230.8	68.7	1656637535.39	7869	0.078
383	-379.2	1230.8	68.7	1656637528.181	7871	0.084
384	-338.8	1266.8	68.7	1656637520.965	7874	0.078
385	-389.5	1266.8	68.8	1656637513.773	7878	0.084
386	-349.6	1302.7	68.7	1656637506.585	7881	0.078
387	-400.0	1302.7	68.7	1656637499.423	7883	0.084
388	-359.7	1338.8	68.7	1656637492.257	7887	0.078
389	-410.0	1338.9	68.7	1656637485.094	7891	0.081
